2021-02-24 22:44:19,055 INFO    MainThread:9012 [internal.py:wandb_internal():81] W&B internal server running at pid: 9012
2021-02-24 22:44:19,060 INFO    WriterThread:9012 [datastore.py:open_for_write():77] open: C:\Users\Juhyeon\Desktop\repository\Proxy-Anchor-CVPR2020\code\wandb\run-20210224_224416-234j8ghk\run-234j8ghk.wandb
2021-02-24 22:44:19,061 DEBUG   HandlerThread:9012 [handler.py:handle_request():93] handle_request: check_version
2021-02-24 22:44:19,062 DEBUG   SenderThread:9012 [sender.py:send():117] send: header
2021-02-24 22:44:19,063 DEBUG   SenderThread:9012 [sender.py:send():117] send: request
2021-02-24 22:44:19,063 DEBUG   SenderThread:9012 [sender.py:send_request():126] send_request: check_version
2021-02-24 22:44:19,068 DEBUG   Thread-20 :9012 [connectionpool.py:_new_conn():824] Starting new HTTPS connection (1): pypi.org
2021-02-24 22:44:19,251 DEBUG   Thread-20 :9012 [connectionpool.py:_make_request():396] https://pypi.org:443 "GET /pypi/wandb/json HTTP/1.1" 200 54531
2021-02-24 22:44:19,296 DEBUG   SenderThread:9012 [sender.py:send():117] send: run
2021-02-24 22:44:19,313 DEBUG   SenderThread:9012 [util.py:is_cygwin_git():315] Failed checking if running in CYGWIN due to: FileNotFoundError(2, '지정된 파일을 찾을 수 없습니다', None, 2, None)
2021-02-24 22:44:19,320 DEBUG   SenderThread:9012 [cmd.py:execute():719] Popen(['git', 'cat-file', '--batch-check'], cwd=C:\Users\Juhyeon\Desktop\repository\Proxy-Anchor-CVPR2020, universal_newlines=False, shell=None, istream=<valid stream>)
2021-02-24 22:44:19,384 DEBUG   SenderThread:9012 [connectionpool.py:_new_conn():824] Starting new HTTPS connection (1): api.wandb.ai
2021-02-24 22:44:19,596 DEBUG   SenderThread:9012 [connectionpool.py:_make_request():396] https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2021-02-24 22:44:19,604 DEBUG   HandlerThread:9012 [handler.py:handle_request():93] handle_request: run_start
